fid,id,left,top,right,bottom,SAMPLE_1
"91",458,771401.1777,1150642.0518,776401.1777,1145642.0518,0.50472617149353
"92",471,776401.1777,1175642.0518,781401.1777,1170642.0518,
"93",472,776401.1777,1170642.0518,781401.1777,1165642.0518,0.45788562297821
"94",477,776401.1777,1145642.0518,781401.1777,1140642.0518,0.51240336894989
"95",489,781401.1777,1175642.0518,786401.1777,1170642.0518,0.482366532087326
"96",491,781401.1777,1165642.0518,786401.1777,1160642.0518,0.448104619979858
"97",493,781401.1777,1155642.0518,786401.1777,1150642.0518,0.431500732898712
"98",494,781401.1777,1150642.0518,786401.1777,1145642.0518,0.458287447690964
"99",495,781401.1777,1145642.0518,786401.1777,1140642.0518,0.425238877534866
"100",507,786401.1777,1175642.0518,791401.1777,1170642.0518,0.484927356243134
"101",509,786401.1777,1165642.0518,791401.1777,1160642.0518,0.400892525911331
"102",514,786401.1777,1140642.0518,791401.1777,1135642.0518,0.483854532241821
"103",525,791401.1777,1175642.0518,796401.1777,1170642.0518,0.486641705036163
"104",526,791401.1777,1170642.0518,796401.1777,1165642.0518,0.392433851957321
"105",528,791401.1777,1160642.0518,796401.1777,1155642.0518,0.430920302867889
"106",529,791401.1777,1155642.0518,796401.1777,1150642.0518,0.415553212165833
"107",531,791401.1777,1145642.0518,796401.1777,1140642.0518,0.437132269144058
"108",544,796401.1777,1170642.0518,801401.1777,1165642.0518,0.323505580425262
"109",547,796401.1777,1155642.0518,801401.1777,1150642.0518,0.420269519090652
"110",549,796401.1777,1145642.0518,801401.1777,1140642.0518,0.452461153268814
"111",560,801401.1777,1180642.0518,806401.1777,1175642.0518,0.486641705036163
"112",562,801401.1777,1170642.0518,806401.1777,1165642.0518,0.360937267541885
"113",564,801401.1777,1160642.0518,806401.1777,1155642.0518,0.457431495189667
"114",566,801401.1777,1150642.0518,806401.1777,1145642.0518,0.39367538690567
"115",568,801401.1777,1140642.0518,806401.1777,1135642.0518,0.450585693120956
"116",579,806401.1777,1175642.0518,811401.1777,1170642.0518,0.364793837070465
"117",581,806401.1777,1165642.0518,811401.1777,1160642.0518,0.421176195144653
"118",583,806401.1777,1155642.0518,811401.1777,1150642.0518,0.38403782248497
"119",585,806401.1777,1145642.0518,811401.1777,1140642.0518,0.409825026988983
"120",586,806401.1777,1140642.0518,811401.1777,1135642.0518,0.394574254751205
"121",598,811401.1777,1170642.0518,816401.1777,1165642.0518,0.364143788814545
"122",599,811401.1777,1165642.0518,816401.1777,1160642.0518,0.42071795463562
"123",603,811401.1777,1145642.0518,816401.1777,1140642.0518,0.440798938274384
"124",614,816401.1777,1180642.0518,821401.1777,1175642.0518,0.41344365477562
"125",615,816401.1777,1175642.0518,821401.1777,1170642.0518,0.466102719306946
"126",617,816401.1777,1165642.0518,821401.1777,1160642.0518,0.422123551368713
"127",619,816401.1777,1155642.0518,821401.1777,1150642.0518,0.374016761779785
"128",621,816401.1777,1145642.0518,821401.1777,1140642.0518,0.451452732086182
"129",622,816401.1777,1140642.0518,821401.1777,1135642.0518,0.432701408863068
"130",634,821401.1777,1170642.0518,826401.1777,1165642.0518,0.378921210765839
"131",636,821401.1777,1160642.0518,826401.1777,1155642.0518,0.388503044843674
"132",651,826401.1777,1175642.0518,831401.1777,1170642.0518,0.426555663347244
"133",652,826401.1777,1170642.0518,831401.1777,1165642.0518,0.416353762149811
"134",654,826401.1777,1160642.0518,831401.1777,1155642.0518,0.388191908597946
"135",656,826401.1777,1150642.0518,831401.1777,1145642.0518,0.373589277267456
"136",670,831401.1777,1170642.0518,836401.1777,1165642.0518,0.412666380405426
"137",672,831401.1777,1160642.0518,836401.1777,1155642.0518,0.406806379556656
"138",689,836401.1777,1165642.0518,841401.1777,1160642.0518,0.393846809864044
"139",691,836401.1777,1155642.0518,841401.1777,1150642.0518,0.464174181222916
"140",692,836401.1777,1150642.0518,841401.1777,1145642.0518,0.411923319101334
"141",696,836401.1777,1130642.0518,841401.1777,1125642.0518,0.434608846902847
"142",697,836401.1777,1125642.0518,841401.1777,1120642.0518,
"143",708,841401.1777,1160642.0518,846401.1777,1155642.0518,0.416767299175262
"144",709,841401.1777,1155642.0518,846401.1777,1150642.0518,0.418064624071121
"145",711,841401.1777,1145642.0518,846401.1777,1140642.0518,0.446543842554092
"146",713,841401.1777,1135642.0518,846401.1777,1130642.0518,0.41344365477562
"147",715,841401.1777,1125642.0518,846401.1777,1120642.0518,0.439180165529251
"148",717,841401.1777,1115642.0518,846401.1777,1110642.0518,0.406566262245178
"149",719,841401.1777,1105642.0518,846401.1777,1100642.0518,0.408948004245758
"150",727,846401.1777,1155642.0518,851401.1777,1150642.0518,0.42820018529892
"151",730,846401.1777,1140642.0518,851401.1777,1135642.0518,0.414679139852524
"152",732,846401.1777,1130642.0518,851401.1777,1125642.0518,0.418517082929611
"153",734,846401.1777,1120642.0518,851401.1777,1115642.0518,0.447315335273743
"154",736,846401.1777,1110642.0518,851401.1777,1105642.0518,0.374735862016678
"155",746,851401.1777,1150642.0518,856401.1777,1145642.0518,0.414257615804672
"156",747,851401.1777,1145642.0518,856401.1777,1140642.0518,0.409825026988983
"157",749,851401.1777,1135642.0518,856401.1777,1130642.0518,0.39367538690567
"158",750,851401.1777,1130642.0518,856401.1777,1125642.0518,0.443624436855316
"159",752,851401.1777,1120642.0518,856401.1777,1115642.0518,0.469220608472824
"160",754,851401.1777,1110642.0518,856401.1777,1105642.0518,
