fid,id,left,top,right,bottom,SAMPLE_1
"89",455,771401.1777,1165642.0518,776401.1777,1160642.0518,-1824.73315429688
"90",456,771401.1777,1160642.0518,776401.1777,1155642.0518,-1748.97131347656
"91",458,771401.1777,1150642.0518,776401.1777,1145642.0518,-1748.97131347656
"92",471,776401.1777,1175642.0518,781401.1777,1170642.0518,
"93",472,776401.1777,1170642.0518,781401.1777,1165642.0518,-1710.98303222656
"94",477,776401.1777,1145642.0518,781401.1777,1140642.0518,-1710.98303222656
"95",489,781401.1777,1175642.0518,786401.1777,1170642.0518,-1691.9599609375
"96",491,781401.1777,1165642.0518,786401.1777,1160642.0518,-1729.98657226562
"97",493,781401.1777,1155642.0518,786401.1777,1150642.0518,-1805.81811523438
"98",494,781401.1777,1150642.0518,786401.1777,1145642.0518,-1748.97131347656
"99",495,781401.1777,1145642.0518,786401.1777,1140642.0518,-1767.93774414062
"100",507,786401.1777,1175642.0518,791401.1777,1170642.0518,-1691.9599609375
"101",509,786401.1777,1165642.0518,791401.1777,1160642.0518,-1805.81811523438
"102",514,786401.1777,1140642.0518,791401.1777,1135642.0518,-1748.97131347656
"103",525,791401.1777,1175642.0518,796401.1777,1170642.0518,-1672.91638183594
"104",526,791401.1777,1170642.0518,796401.1777,1165642.0518,-1824.73315429688
"105",528,791401.1777,1160642.0518,796401.1777,1155642.0518,-1767.93774414062
"106",529,791401.1777,1155642.0518,796401.1777,1150642.0518,-1767.93774414062
"107",531,791401.1777,1145642.0518,796401.1777,1140642.0518,-1767.93774414062
"108",544,796401.1777,1170642.0518,801401.1777,1165642.0518,-1862.51586914062
"109",547,796401.1777,1155642.0518,801401.1777,1150642.0518,-1748.97131347656
"110",549,796401.1777,1145642.0518,801401.1777,1140642.0518,-1729.98657226562
"111",560,801401.1777,1180642.0518,806401.1777,1175642.0518,-1672.91638183594
"112",562,801401.1777,1170642.0518,806401.1777,1165642.0518,-1843.63220214844
"113",564,801401.1777,1160642.0518,806401.1777,1155642.0518,-1729.98657226562
"114",566,801401.1777,1150642.0518,806401.1777,1145642.0518,-1748.97131347656
"115",568,801401.1777,1140642.0518,806401.1777,1135642.0518,-1748.97131347656
"116",579,806401.1777,1175642.0518,811401.1777,1170642.0518,-1805.81811523438
"117",581,806401.1777,1165642.0518,811401.1777,1160642.0518,-1748.97131347656
"118",583,806401.1777,1155642.0518,811401.1777,1150642.0518,-1729.98657226562
"119",585,806401.1777,1145642.0518,811401.1777,1140642.0518,-1729.98657226562
"120",586,806401.1777,1140642.0518,811401.1777,1135642.0518,-1748.97131347656
